Module name,Module size,Number of CN,Number of RN,Number of axioms
SpinousProcessOfSixthThoracicVertebra,6134,5813,316,30232
BetaBrainWave,6221,5886,330,30563
Cisapride,41,23,14,95
IrradiationCystitis,6267,5946,316,30772
GlucoseTransport,61,28,28,145
ThermalUltrasoundProbe,45,24,16,104
Corticosterone,6134,5813,316,30232
HypomanicBehaviour,49,28,16,134
AnkylosingSpondylitis,6272,5949,318,30788
Evacuating,14,9,0,27
spontaneous,15,11,0,33
SupraventricularConduction,6134,5813,316,30232
Dacarbazine,41,23,14,95
SuperiorVenaCava,6134,5813,316,30232
Formication,159,100,54,450
SodiumRetention,6164,5839,320,30351
PhysiologicalRole,9,5,0,14
CountingDevice,44,23,16,101
VenaCavaValveProsthesis,6134,5813,316,30232
Lecythophora,114,69,40,315
SodiumIronEdetate,89,44,40,228
Diplopia,6136,5815,316,30238
PlateletAggregation,6139,5818,316,30250
Altretamine,41,23,14,95
LabiaMajora,6134,5813,316,30232
OxytetracyclineCalcium,117,56,56,304
CardiacSeptum,6134,5813,316,30232
ReducingToxicity,52,23,24,120
BloodOxygenatorDevice,6143,5820,318,30263
PostpartumPeriod,14,10,0,29
DryEyeSyndrome,6136,5815,316,30238
Luminescing,13,8,0,24
TibialNutrientArtery,6134,5813,316,30232
SepticaemicShock,6185,5860,320,30424
TransCranialCavityApproach,6244,5923,316,30676
ThirdCervicalVertebra,6134,5813,316,30232
GumHypertrophy,6264,5931,328,30731
HornOfPulpChamber,6135,5814,316,30235
CervicalCap,311,196,110,936
RightIneffectiveCardiacFunctionSecondaryToLeftIneffectiveCardiacFunction,6263,5930,328,30756
EpiCranialAponeurosis,6135,5814,316,30237
ChronsDisease,47,26,16,123
HumanBiteSymptom,6178,5853,320,30397
Oxypertine,41,23,14,95
YersiniaPestis,259,166,88,776
ABBloodGroupTestResult,6217,5884,328,30552
ElixirBasicDrugForm,65,30,30,157
IndexDrugMonographCautionSection,44,21,18,100
Adenoma,6233,5906,322,30622
Perichondrium,57,31,22,135
FattyTissue,57,30,22,133
PlantarLigament,6134,5813,316,30232
PartOfPenileShaft,108,59,44,301
MucosalRoute,6244,5923,316,30676
PartOfGingiva,6134,5813,316,30232
NeutrophilCountProcedure,6211,5876,330,30528
ChoroidPlexusOfThirdVentricle,6135,5814,316,30235
OliguriaSymptom,6187,5856,326,30432
TiclopidineHydrochloride,42,24,14,98
Pubis,6134,5813,316,30232
MaximumTemporalValue,30,16,10,63
SaphenoFemoralJunction,6134,5813,316,30232
SurgicalAdvancing,34,19,10,75
Leukocytopoiesis,6134,5813,316,30232
Food,22,8,10,37
PelvicVasculature,6134,5813,316,30232
Transplanting,15,10,0,30
Fashioning,14,9,0,27
GrandMultiparity,73,40,28,197
InguinalRegion,6134,5813,316,30232
FlatShapedBodyStructure,62,33,24,160
