Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,127,714,17,4,4,200,5,756,9
12,64,127,611,17,4,4,101,5,756,9
12,64,129,725,17,4,4,167,5,882,11
12,64,128,632,17,4,4,91,5,829,10
12,64,127,714,17,4,4,200,5,756,9
12,64,127,611,17,4,4,101,5,756,9
12,64,129,725,17,4,4,167,5,882,11
12,64,128,632,17,4,4,91,5,829,10
12,64,127,714,17,4,4,200,5,756,9
12,64,127,714,17,4,4,200,5,756,9
12,64,127,611,17,4,4,101,5,756,9
12,64,129,725,17,4,4,167,5,882,11
12,64,128,632,17,4,4,91,5,829,10
