Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,134,752,17,4,4,291,5,728,7
12,64,134,624,17,4,4,91,5,728,7
12,64,136,760,17,4,4,259,5,876,9
12,64,136,645,17,4,4,81,5,876,9
12,64,134,752,17,4,4,291,5,728,7
12,64,134,624,17,4,4,91,5,728,7
12,64,136,760,17,4,4,259,5,876,9
12,64,136,645,17,4,4,81,5,876,9
12,64,134,752,17,4,4,291,5,728,7
12,64,134,752,17,4,4,291,5,728,7
12,64,134,624,17,4,4,91,5,728,7
12,64,136,760,17,4,4,259,5,876,9
12,64,136,645,17,4,4,81,5,876,9
