Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,30,254,17,4,4,183,5,695,10
12,64,30,274,17,4,4,182,5,725,10
12,64,31,213,17,4,4,122,5,705,11
12,64,32,206,17,4,4,86,5,773,12
12,64,30,254,17,4,4,183,5,695,10
12,64,30,278,17,4,4,182,5,725,10
12,64,31,213,17,4,4,122,5,705,11
12,64,32,206,17,4,4,86,5,773,12
12,64,30,254,17,4,4,183,5,695,10
12,64,30,254,17,4,4,183,5,695,10
12,64,30,278,17,4,4,182,5,725,10
12,64,31,213,17,4,4,122,5,705,11
12,64,32,206,17,4,4,86,5,773,12
