Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,68,372,17,4,4,66,5,689,10
12,64,68,344,17,4,4,86,5,650,10
12,64,70,374,17,4,4,69,5,742,12
12,64,69,367,17,4,4,82,5,759,11
12,64,68,372,17,4,4,66,5,689,10
12,64,68,344,17,4,4,86,5,650,10
12,64,70,374,17,4,4,69,5,742,12
12,64,69,367,17,4,4,82,5,759,11
12,64,68,372,17,4,4,66,5,689,10
12,64,68,372,17,4,4,66,5,689,10
12,64,68,344,17,4,4,86,5,650,10
12,64,70,374,17,4,4,69,5,742,12
12,64,69,367,17,4,4,82,5,759,11
