Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,56,376,17,4,4,172,5,866,14
12,64,56,346,17,4,4,94,5,858,14
12,64,56,337,17,4,4,156,5,890,14
12,64,56,314,17,4,4,76,5,888,14
12,64,56,376,17,4,4,172,5,866,14
12,64,56,346,17,4,4,94,5,858,14
12,64,56,337,17,4,4,156,5,890,14
12,64,56,314,17,4,4,76,5,888,14
12,64,56,376,17,4,4,172,5,866,14
12,64,56,376,17,4,4,172,5,866,14
12,64,56,346,17,4,4,94,5,858,14
12,64,56,337,17,4,4,156,5,890,14
12,64,56,314,17,4,4,76,5,888,14
