Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,71,579,17,4,4,90,5,1208,15
12,64,68,461,17,4,4,100,5,1026,12
12,64,77,603,17,4,4,81,5,1869,21
12,64,77,509,17,4,4,56,5,1869,21
12,64,71,579,17,4,4,90,5,1208,15
12,64,68,461,17,4,4,100,5,1026,12
12,64,77,603,17,4,4,81,5,1869,21
12,64,77,509,17,4,4,56,5,1869,21
12,64,71,579,17,4,4,90,5,1208,15
12,64,71,579,17,4,4,90,5,1208,15
12,64,68,461,17,4,4,100,5,1026,12
12,64,77,603,17,4,4,81,5,1869,21
12,64,77,509,17,4,4,56,5,1869,21
