Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
12,64,0,0,17,4,4,0,0,272,1
