Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
12,64,32,207,17,4,4,120,5,891,15
12,64,32,169,17,4,4,51,5,879,15
12,64,32,204,17,4,4,139,5,877,15
12,64,32,168,17,4,4,51,5,879,15
12,64,32,207,17,4,4,120,5,891,15
12,64,32,169,17,4,4,51,5,879,15
12,64,32,204,17,4,4,139,5,877,15
12,64,32,168,17,4,4,51,5,879,15
12,64,32,207,17,4,4,120,5,891,15
12,64,32,207,17,4,4,120,5,891,15
12,64,32,169,17,4,4,51,5,879,15
12,64,32,204,17,4,4,139,5,877,15
12,64,32,168,17,4,4,51,5,879,15
