Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
24,96,354,1418,22,0,1,2,5,488,3
24,96,354,1418,22,0,1,2,5,488,3
24,96,352,1408,22,0,1,1,0,462,1
24,96,352,1408,22,0,1,1,0,462,1
24,96,354,1418,22,0,1,2,5,488,3
24,96,354,1418,22,0,1,2,5,488,3
24,96,352,1408,22,0,1,1,0,462,1
24,96,352,1408,22,0,1,1,0,462,1
24,96,354,1418,22,0,1,2,5,488,3
24,96,354,1418,22,0,1,2,5,488,3
24,96,354,1418,22,0,1,2,5,488,3
24,96,352,1408,22,0,1,1,0,462,1
24,96,352,1408,22,0,1,1,0,462,1
