Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
24,96,130,526,22,0,1,2,5,529,7
24,96,130,526,22,0,1,2,5,529,7
24,96,128,516,22,0,1,2,5,509,5
24,96,128,516,22,0,1,2,5,509,5
24,96,130,526,22,0,1,2,5,529,7
24,96,130,526,22,0,1,2,5,529,7
24,96,128,516,22,0,1,2,5,509,5
24,96,128,516,22,0,1,2,5,509,5
24,96,130,526,22,0,1,2,5,529,7
24,96,130,526,22,0,1,2,5,529,7
24,96,130,526,22,0,1,2,5,529,7
24,96,128,516,22,0,1,2,5,509,5
24,96,128,516,22,0,1,2,5,509,5
