Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,87,408,9,3,5,61,5,186,4
9,46,87,378,9,3,5,51,5,186,4
9,46,84,336,9,3,5,1,0,90,1
9,46,84,336,9,3,5,1,0,90,1
9,46,87,408,9,3,5,61,5,186,4
9,46,87,378,9,3,5,51,5,186,4
9,46,84,336,9,3,5,1,0,90,1
9,46,84,336,9,3,5,1,0,90,1
9,46,87,408,9,3,5,61,5,186,4
9,46,72,385,9,3,5,163,5,294,6
9,46,72,322,9,3,5,51,5,294,6
9,46,68,272,9,3,5,1,5,74,2
9,46,68,272,9,3,5,1,5,74,2
