Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,85,411,9,3,5,112,5,224,4
9,46,85,370,9,3,5,51,5,224,4
9,46,84,372,9,3,5,55,5,152,3
9,46,84,354,9,3,5,46,5,152,3
9,46,85,411,9,3,5,112,5,224,4
9,46,85,370,9,3,5,51,5,224,4
9,46,84,372,9,3,5,55,5,152,3
9,46,84,354,9,3,5,46,5,152,3
9,46,85,411,9,3,5,112,5,224,4
9,46,62,315,9,3,5,112,5,277,7
9,46,62,283,9,3,5,51,5,277,7
9,46,62,300,9,3,5,90,5,277,7
9,46,62,275,9,3,5,41,5,277,7
