Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,46,279,9,3,5,60,5,464,13
9,46,46,268,9,3,5,60,5,490,13
9,46,47,288,9,3,5,59,5,476,14
9,46,47,275,9,3,5,59,5,486,14
9,46,46,279,9,3,5,60,5,464,13
9,46,46,268,9,3,5,60,5,490,13
9,46,47,288,9,3,5,59,5,476,14
9,46,47,275,9,3,5,59,5,486,14
9,46,46,279,9,3,5,60,5,464,13
9,46,36,224,9,3,5,60,5,353,11
9,46,36,220,9,3,5,60,5,356,11
9,46,34,179,9,3,5,46,5,321,9
9,46,34,178,9,3,5,46,5,321,9
