Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,28,185,9,3,5,59,5,484,10
9,46,28,163,9,3,5,42,5,421,10
9,46,29,172,9,3,5,59,5,487,11
9,46,28,153,9,3,5,31,5,421,10
9,46,28,185,9,3,5,59,5,484,10
9,46,28,163,9,3,5,42,5,421,10
9,46,29,172,9,3,5,59,5,487,11
9,46,28,153,9,3,5,31,5,421,10
9,46,28,185,9,3,5,59,5,484,10
9,46,25,144,9,3,5,28,5,530,15
9,46,24,145,9,3,5,40,5,491,14
9,46,23,124,9,3,5,23,5,475,13
9,46,23,125,9,3,5,23,5,471,13
