Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,14,56,9,3,5,1,0,90,1
9,46,14,56,9,3,5,1,0,90,1
9,46,14,56,9,3,5,1,0,90,1
9,46,14,56,9,3,5,1,0,90,1
9,46,14,56,9,3,5,1,0,90,1
9,46,14,56,9,3,5,1,0,90,1
9,46,14,56,9,3,5,1,0,90,1
9,46,14,56,9,3,5,1,0,90,1
9,46,14,56,9,3,5,1,0,90,1
9,46,7,36,9,3,5,6,5,168,3
9,46,7,32,9,3,5,16,5,159,3
9,46,7,36,9,3,5,6,5,168,3
9,46,7,32,9,3,5,16,5,159,3
