Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,70,373,9,3,5,163,5,283,4
9,46,70,310,9,3,5,51,5,283,4
9,46,67,326,9,3,5,53,5,248,7
9,46,67,305,9,3,5,46,5,248,7
9,46,70,373,9,3,5,163,5,283,4
9,46,70,310,9,3,5,51,5,283,4
9,46,67,326,9,3,5,53,5,248,7
9,46,67,305,9,3,5,46,5,248,7
9,46,70,373,9,3,5,163,5,283,4
9,46,52,301,9,3,5,163,5,270,5
9,46,52,238,9,3,5,51,5,270,5
9,46,52,256,9,3,5,90,5,210,5
9,46,52,231,9,3,5,41,5,210,5
