Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
9,46,9,36,9,3,5,1,0,90,1
9,46,9,36,9,3,5,1,0,90,1
9,46,9,36,9,3,5,1,0,90,1
9,46,9,36,9,3,5,1,0,90,1
9,46,9,36,9,3,5,1,0,90,1
9,46,9,36,9,3,5,1,0,90,1
9,46,9,36,9,3,5,1,0,90,1
9,46,9,36,9,3,5,1,0,90,1
9,46,9,36,9,3,5,1,0,90,1
9,46,0,0,9,3,5,0,0,72,1
9,46,0,0,9,3,5,0,0,72,1
9,46,0,0,9,3,5,0,0,72,1
9,46,0,0,9,3,5,0,0,72,1
