Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,58,502,19,4,16,210,5,1257,25
18,138,54,361,19,4,16,147,5,1053,21
18,138,54,368,19,4,16,159,5,1136,21
18,138,51,320,19,4,16,203,5,895,18
18,138,58,502,19,4,16,210,5,1257,25
18,138,54,361,19,4,16,147,5,1053,21
18,138,54,368,19,4,16,159,5,1136,21
18,138,51,320,19,4,16,203,5,895,18
18,138,58,502,19,4,16,210,5,1257,25
18,138,40,401,19,4,16,205,5,1324,27
18,138,40,303,19,4,16,168,5,1241,27
18,138,40,328,19,4,16,84,5,1557,27
18,138,40,279,19,4,16,56,5,1523,27
