Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,168,783,19,4,16,94,5,633,6
18,138,168,759,19,4,16,109,5,639,6
18,138,144,640,19,4,16,116,5,731,7
18,138,144,629,19,4,16,101,5,626,7
18,138,168,783,19,4,16,94,5,633,6
18,138,168,759,19,4,16,109,5,639,6
18,138,144,640,19,4,16,116,5,731,7
18,138,144,629,19,4,16,101,5,626,7
18,138,168,783,19,4,16,94,5,633,6
18,138,118,573,19,4,16,99,5,584,7
18,138,118,558,19,4,16,101,5,594,7
18,138,116,509,19,4,16,67,5,508,5
18,138,116,503,19,4,16,81,5,508,5
