Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,323,1494,19,4,16,222,5,786,5
18,138,323,1372,19,4,16,101,5,786,5
18,138,281,1275,19,4,16,115,5,694,6
18,138,281,1214,19,4,16,96,5,694,6
18,138,323,1494,19,4,16,222,5,786,5
18,138,323,1372,19,4,16,101,5,786,5
18,138,281,1275,19,4,16,115,5,694,6
18,138,281,1214,19,4,16,96,5,694,6
18,138,323,1494,19,4,16,222,5,786,5
18,138,303,1401,19,4,16,211,5,893,9
18,138,303,1305,19,4,16,96,5,893,9
18,138,303,1389,19,4,16,200,5,906,9
18,138,303,1298,19,4,16,91,5,906,9
