Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,52,235,19,4,16,67,5,536,7
18,138,52,245,19,4,16,112,5,567,7
18,138,52,236,19,4,16,59,5,536,7
18,138,52,230,19,4,16,51,5,536,7
18,138,52,235,19,4,16,67,5,536,7
18,138,52,245,19,4,16,112,5,567,7
18,138,52,236,19,4,16,59,5,536,7
18,138,52,230,19,4,16,51,5,536,7
18,138,52,235,19,4,16,67,5,536,7
18,138,36,165,19,4,16,59,5,514,8
18,138,37,169,19,4,16,61,5,587,9
18,138,36,170,19,4,16,66,5,572,8
18,138,36,161,19,4,16,51,5,572,8
