Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,71,482,19,4,16,108,5,1510,31
18,138,74,443,19,4,16,107,5,1508,34
18,138,65,371,19,4,16,137,5,1145,25
18,138,69,417,19,4,16,163,5,1350,29
18,138,71,485,19,4,16,108,5,1510,31
18,138,74,445,19,4,16,107,5,1508,34
18,138,65,371,19,4,16,137,5,1145,25
18,138,69,417,19,4,16,163,5,1350,29
18,138,71,487,19,4,16,108,5,1510,31
18,138,57,489,19,4,16,112,5,1606,35
18,138,52,414,19,4,16,101,5,1731,30
18,138,59,379,19,4,16,177,5,1493,37
18,138,58,356,19,4,16,157,5,1506,36
