Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,57,243,19,4,16,23,5,537,5
18,138,57,243,19,4,16,23,5,537,5
18,138,57,238,19,4,16,17,5,537,5
18,138,57,238,19,4,16,17,5,537,5
18,138,57,243,19,4,16,23,5,537,5
18,138,57,243,19,4,16,23,5,537,5
18,138,57,238,19,4,16,17,5,537,5
18,138,57,238,19,4,16,17,5,537,5
18,138,57,243,19,4,16,23,5,537,5
18,138,40,166,19,4,16,2,5,582,7
18,138,40,167,19,4,16,11,5,582,7
18,138,40,166,19,4,16,2,5,582,7
18,138,40,166,19,4,16,2,5,582,7
