Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,84,474,19,4,16,83,5,1276,21
18,138,84,465,19,4,16,82,5,1366,21
18,138,89,501,19,4,16,106,5,1529,26
18,138,86,449,19,4,16,51,5,1439,23
18,138,84,474,19,4,16,83,5,1276,21
18,138,84,450,19,4,16,78,5,1366,21
18,138,89,501,19,4,16,106,5,1529,26
18,138,86,449,19,4,16,51,5,1439,23
18,138,84,474,19,4,16,83,5,1276,21
18,138,66,468,19,4,16,109,5,1454,23
18,138,66,443,19,4,16,157,5,1366,23
18,138,69,419,19,4,16,84,5,1577,26
18,138,68,372,19,4,16,57,5,1469,25
