Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,21,84,19,4,16,1,0,380,1
18,138,21,84,19,4,16,1,0,380,1
18,138,21,84,19,4,16,1,0,380,1
18,138,21,84,19,4,16,1,0,380,1
18,138,21,84,19,4,16,1,0,380,1
18,138,21,84,19,4,16,1,0,380,1
18,138,21,84,19,4,16,1,0,380,1
18,138,21,84,19,4,16,1,0,380,1
18,138,21,84,19,4,16,1,0,380,1
18,138,3,12,19,4,16,1,0,342,1
18,138,3,12,19,4,16,1,0,342,1
18,138,3,12,19,4,16,1,0,342,1
18,138,3,12,19,4,16,1,0,342,1
