Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,180,998,19,4,16,111,5,1130,10
18,138,180,866,19,4,16,109,5,1130,10
18,138,152,906,19,4,16,280,5,1503,15
18,138,152,745,19,4,16,91,5,1477,15
18,138,180,998,19,4,16,111,5,1130,10
18,138,180,866,19,4,16,109,5,1130,10
18,138,152,906,19,4,16,280,5,1503,15
18,138,152,745,19,4,16,91,5,1477,15
18,138,180,998,19,4,16,111,5,1130,10
18,138,150,814,19,4,16,115,5,777,8
18,138,150,742,19,4,16,115,5,777,8
18,138,150,814,19,4,16,183,5,1045,8
18,138,150,715,19,4,16,107,5,1045,8
