Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
18,138,66,591,19,4,16,437,5,1036,21
18,138,64,404,19,4,16,202,5,877,19
18,138,63,356,19,4,16,228,5,919,18
18,138,63,343,19,4,16,197,5,911,18
18,138,66,591,19,4,16,437,5,1036,21
18,138,64,404,19,4,16,202,5,877,19
18,138,63,358,19,4,16,228,5,919,18
18,138,63,344,19,4,16,197,5,911,18
18,138,66,591,19,4,16,437,5,1036,21
18,138,59,430,19,4,16,251,5,1482,30
18,138,56,395,19,4,16,157,5,1311,27
18,138,61,393,19,4,16,79,5,1640,32
18,138,55,329,19,4,16,137,5,1184,26
