Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
4,24,39,213,7,3,5,90,5,157,5
4,24,39,180,7,3,5,41,5,157,5
4,24,36,144,7,3,5,1,5,45,2
4,24,36,144,7,3,5,1,5,45,2
4,24,39,213,7,3,5,90,5,157,5
4,24,39,180,7,3,5,41,5,157,5
4,24,36,144,7,3,5,1,5,45,2
4,24,36,144,7,3,5,1,5,45,2
4,24,39,213,7,3,5,90,5,157,5
4,24,39,213,7,3,5,90,5,157,5
4,24,39,180,7,3,5,41,5,157,5
4,24,36,144,7,3,5,1,5,45,2
4,24,36,144,7,3,5,1,5,45,2
