Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
4,24,41,246,7,3,5,131,5,273,7
4,24,41,195,7,3,5,41,5,273,7
4,24,41,191,7,3,5,37,5,191,7
4,24,41,185,7,3,5,31,5,191,7
4,24,41,246,7,3,5,131,5,273,7
4,24,41,195,7,3,5,41,5,273,7
4,24,41,191,7,3,5,37,5,191,7
4,24,41,185,7,3,5,31,5,191,7
4,24,41,246,7,3,5,131,5,273,7
4,24,41,246,7,3,5,131,5,273,7
4,24,41,195,7,3,5,41,5,273,7
4,24,41,191,7,3,5,37,5,191,7
4,24,41,185,7,3,5,31,5,191,7
