Target TBox logical axioms,Size of T,Hypothesis TBox logical axioms,Size of H,Number of concept names,Number of role names,Size of largest  concept in T,Size of largest  concept in H,Size of largest counterexample, Total membership queries, Total equivalent queries
4,24,10,53,7,3,5,22,5,159,8
4,24,10,50,7,3,5,21,5,159,8
4,24,10,52,7,3,5,21,5,159,8
4,24,10,50,7,3,5,21,5,159,8
4,24,10,53,7,3,5,22,5,159,8
4,24,10,50,7,3,5,21,5,159,8
4,24,10,52,7,3,5,21,5,159,8
4,24,10,50,7,3,5,21,5,159,8
4,24,10,53,7,3,5,22,5,159,8
4,24,10,53,7,3,5,22,5,159,8
4,24,10,50,7,3,5,21,5,159,8
4,24,10,52,7,3,5,21,5,159,8
4,24,10,50,7,3,5,21,5,159,8
